part,ebay_low,ebay_avg,offerup_low,offerup_high,craigslist_low,craigslist_high,google_low,google_avg,image_url
Blower Motor,20.0,82.79,0,0,0,0,0,0,saved_images/MANUAL_Blower_Motor_20250427231708.jpg
Heater Control,20.0,37.02,0,0,0,0,0,0,saved_images/MANUAL_Heater_Control_20250427231717.jpg
Climate Control Module,8.5,35.7,0,0,0,0,0,0,saved_images/MANUAL_Climate_Control_Module_20250427231725.jpg
Fuel Tank,20.0,286.21,0,0,0,0,0,0,saved_images/MANUAL_Fuel_Tank_20250427231733.jpg
Fuel Line,6.0,90.67,0,0,70.99,65002018.0,0,0,saved_images/MANUAL_Fuel_Line_20250427231744.jpg
Carburetor,20.0,84.67,0,0,0,0,0,0,saved_images/MANUAL_Carburetor_20250427231754.jpg
Throttle Body,20.0,49.23,0,0,0,0,0,0,saved_images/MANUAL_Throttle_Body_20250427231802.jpg
Catalytic Converter,20.0,321.82,0,0,0,0,0,0,saved_images/MANUAL_Catalytic_Converter_20250427231811.jpg
Muffler,20.0,200.9,0,0,0,0,0,0,saved_images/MANUAL_Muffler_20250427231820.jpg
Exhaust Manifold,19.9,53.91,0,0,0,0,0,0,saved_images/MANUAL_Exhaust_Manifold_20250427231828.jpg
O2 Sensor,12.0,32.15,0,0,0,0,0,0,saved_images/MANUAL_O2_Sensor_20250427231837.jpg
Downpipe,20.0,340.96,0,0,0,0,0,0,saved_images/MANUAL_Downpipe_20250427231846.jpg
Windshield Washer Pump,15.98,39.98,0,0,0,0,0,0,saved_images/MANUAL_Windshield_Washer_Pump_20250427231855.jpg
Spare Tire,20.0,143.0,0,0,35.0,12018.0,50.0,2459.39,saved_images/MANUAL_Spare_Tire_20250427231903.jpg
Jack,20.0,87.24,0,0,0,0,0,0,saved_images/MANUAL_Jack_20250427231912.jpg
Tool Kit,10.0,65.17,0,0,0,0,0,0,saved_images/MANUAL_Tool_Kit_20250427231921.jpg
Floor Mats,15.0,58.66,0,0,0,0,0,0,saved_images/MANUAL_Floor_Mats_20250427231929.jpg
