part,car_parts_price,google_price,ebay_price,car_parts_avg,google_avg,ebay_avg,best_deal,savings,car_parts_url,google_url,ebay_url,image_url
Alternator,0,1.0,75.0,0,1.0,68.0,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Alternator,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Alternator+used&LH_ItemCondition=3000,saved_images/alternator_20250427012815.jpg
Radiator,0,1.0,75.0,0,1.0,68.0,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Radiator,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Radiator+used&LH_ItemCondition=3000,saved_images/radiator_20250427012827.jpg
Brake Pads,0,1.0,20.0,0,1.0,95.49,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Brake+Pads,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Brake+Pads+used&LH_ItemCondition=3000,saved_images/brake_pads_20250427012840.jpg
Starter,0,1.0,65.0,0,1.0,52.0,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Starter,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Starter+used&LH_ItemCondition=3000,saved_images/starter_20250427012852.jpg
Headlights,0,1.0,150.0,0,1.0,138.0,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Headlights,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Headlights+used&LH_ItemCondition=3000,saved_images/headlights_20250427012904.jpg
