part,car_parts_price,google_price,ebay_price,car_parts_avg,google_avg,ebay_avg,best_deal,savings,car_parts_url,google_url,ebay_url,image_url
Alternator,0,43.97,75.0,0,48.44,66.07,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Alternator,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Alternator+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/fFMAAeSwUJFntfo5/s-l500.webp
Radiator,0,1.0,75.0,0,1.0,103.3,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Radiator,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Radiator+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/CugAAOSw455n5AyZ/s-l500.webp
Starter,0,1.0,65.0,0,1.0,45.71,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Starter,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Starter+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/vZ0AAOSw~jBn3YxQ/s-l500.webp
AC Compressor,0,1.0,20.0,0,1.0,80.49,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+AC+Compressor,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+AC+Compressor+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/tc0AAeSwPmhn7IPJ/s-l500.webp
Transmission,0,1.0,150.0,0,1.0,323.25,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Transmission,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Transmission+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/flMAAeSwv-ZnwVNK/s-l500.webp
Fuel Pump,0,1.0,105.0,0,1.0,91.85,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Fuel+Pump,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Fuel+Pump+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/pnwAAeSwdHZn~s5J/s-l500.webp
Door Mirror,0,1.0,150.0,0,1.0,194.86,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Door+Mirror,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Door+Mirror+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/p~wAAOSwBvpka-br/s-l500.webp
Headlights,0,1.0,150.0,0,1.0,173.57,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Headlights,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Headlights+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/bnEAAOSwRtZmqPJu/s-l500.webp
Tail Lights,0,1.0,150.0,0,1.0,105.0,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Tail+Lights,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Tail+Lights+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/tcsAAOSwgUlnAPz~/s-l500.webp
Door Handle,0,1.0,60.0,0,1.0,57.85,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Door+Handle,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Door+Handle+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/JykAAeSwM0JntuU0/s-l500.webp
Steering Column,0,1.0,75.0,0,1.0,75.81,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Steering+Column,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Steering+Column+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/lgYAAOSwhIVnBTos/s-l500.webp
Suspension Control Arm,0,1.0,20.0,0,1.0,42.83,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Suspension+Control+Arm,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Suspension+Control+Arm+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/NOcAAeSwEcloB3fn/s-l500.webp
Exhaust Muffler,0,1.0,20.0,0,1.0,131.76,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2014+LEXUS+ES+used+Exhaust+Muffler,https://www.ebay.com/sch/i.html?_nkw=2014+LEXUS+ES+Exhaust+Muffler+used&LH_ItemCondition=3000,https://i.ebayimg.com/images/g/sbwAAOSwalJnqivc/s-l500.webp
