part,car_parts_price,google_price,ebay_price,car_parts_avg,google_avg,ebay_avg,best_deal,savings,car_parts_url,google_url,ebay_url,image_url
Alternator,0,1.0,75.0,0,1.0,69.78,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2010+FORD+Expedition+used+Alternator,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Alternator+used&LH_ItemCondition=3000,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Alternator+used&LH_ItemCondition=3000
Radiator,0,1.0,125.0,0,1.0,85.41,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2010+FORD+Expedition+used+Radiator,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Radiator+used&LH_ItemCondition=3000,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Radiator+used&LH_ItemCondition=3000
Brake Pads,0,1.0,20.0,0,1.0,89.11,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2010+FORD+Expedition+used+Brake+Pads,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Brake+Pads+used&LH_ItemCondition=3000,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Brake+Pads+used&LH_ItemCondition=3000
Starter,0,1.0,70.0,0,1.0,69.0,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2010+FORD+Expedition+used+Starter,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Starter+used&LH_ItemCondition=3000,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Starter+used&LH_ItemCondition=3000
Headlights,0,1.0,100.0,0,1.0,80.94,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2010+FORD+Expedition+used+Headlights,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Headlights+used&LH_ItemCondition=3000,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Headlights+used&LH_ItemCondition=3000
AC Compressor,0,1.0,100.0,0,1.0,80.14,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2010+FORD+Expedition+used+AC+Compressor,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+AC+Compressor+used&LH_ItemCondition=3000,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+AC+Compressor+used&LH_ItemCondition=3000
Catalytic Converter,0,1.0,20.0,0,1.0,357.0,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2010+FORD+Expedition+used+Catalytic+Converter,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Catalytic+Converter+used&LH_ItemCondition=3000,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Catalytic+Converter+used&LH_ItemCondition=3000
Fuel Pump,0,1.0,75.0,0,1.0,68.71,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2010+FORD+Expedition+used+Fuel+Pump,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Fuel+Pump+used&LH_ItemCondition=3000,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Fuel+Pump+used&LH_ItemCondition=3000
Transmission,0,1.0,150.0,0,1.0,282.43,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2010+FORD+Expedition+used+Transmission,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Transmission+used&LH_ItemCondition=3000,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Transmission+used&LH_ItemCondition=3000
Axle,0,1.0,75.0,0,1.0,102.85,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2010+FORD+Expedition+used+Axle,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Axle+used&LH_ItemCondition=3000,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Axle+used&LH_ItemCondition=3000
Shock Absorber,0,1.0,20.0,0,1.0,53.35,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2010+FORD+Expedition+used+Shock+Absorber,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Shock+Absorber+used&LH_ItemCondition=3000,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Shock+Absorber+used&LH_ItemCondition=3000
Steering Rack,0,1.0,150.0,0,1.0,138.97,Google,0,https://www.car-part.com/,https://www.google.com/search?q=2010+FORD+Expedition+used+Steering+Rack,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Steering+Rack+used&LH_ItemCondition=3000,https://www.ebay.com/sch/i.html?_nkw=2010+FORD+Expedition+Steering+Rack+used&LH_ItemCondition=3000
