Part Name,eBay Scraped Avg Price,eBay Scraped Low Price,eBay Scraped URL,Scraped Image Filename,eBay Scrape Error,Google Shopping Avg Price,Google Shopping URL,Google Scrape Error
Catalytic Converters,402.23,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Catalytic%20Converters%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Catalytic_Converters_20250518170805610966.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Catalytic%20Converters%20used%20price&tbm=shop,Google Shopping scraping not implemented
Exhaust Manifolds,182.04,19.99,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Exhaust%20Manifolds%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Exhaust_Manifolds_20250518170812547228.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Exhaust%20Manifolds%20used%20price&tbm=shop,Google Shopping scraping not implemented
Mufflers & Resonators,232.67,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Mufflers%20%26%20Resonators%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Mufflers_Resonators_20250518170819293450.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Mufflers%20%26%20Resonators%20used%20price&tbm=shop,Google Shopping scraping not implemented
Doors & Door Handles,45.15,18.05,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Doors%20%26%20Door%20Handles%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Doors_Door_Handles_20250518170826346640.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Doors%20%26%20Door%20Handles%20used%20price&tbm=shop,Google Shopping scraping not implemented
Fenders,157.84,19.99,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Fenders%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Fenders_20250518170833719525.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Fenders%20used%20price&tbm=shop,Google Shopping scraping not implemented
Grilles,133.18,16.89,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Grilles%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Grilles_20250518170841952408.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Grilles%20used%20price&tbm=shop,Google Shopping scraping not implemented
Hoods,332.24,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Hoods%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Hoods_20250518170849161284.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Hoods%20used%20price&tbm=shop,Google Shopping scraping not implemented
Mirrors,99.15,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Mirrors%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Mirrors_20250518170856541723.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Mirrors%20used%20price&tbm=shop,Google Shopping scraping not implemented
Spoilers & Wings,174.13,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Spoilers%20%26%20Wings%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Spoilers_Wings_20250518170903761250.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Spoilers%20%26%20Wings%20used%20price&tbm=shop,Google Shopping scraping not implemented
Tailgates,263.78,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Tailgates%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Tailgates_20250518170911193590.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Tailgates%20used%20price&tbm=shop,Google Shopping scraping not implemented
