Part Name,eBay Scraped Avg Price,eBay Scraped Low Price,eBay Scraped URL,Scraped Image Path,AI Image Valid,Google Shopping Avg Price,Google Shopping URL
Mat,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Mat%20used%20price&tbm=shop
Floor Mat,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Floor%20Mat%20used%20price&tbm=shop
Fob,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Fob%20used%20price&tbm=shop
95440 M6000,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%2095440%20M6000%20used%20price&tbm=shop
Remote,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Remote%20used%20price&tbm=shop
Remote Fob,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Remote%20Fob%20used%20price&tbm=shop
2019,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%20used%20price&tbm=shop
2021 95440 M6000,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202021%2095440%20M6000%20used%20price&tbm=shop
Key,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Key%20used%20price&tbm=shop
2019 2021,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202021%20used%20price&tbm=shop
2021,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202021%20used%20price&tbm=shop
Primered,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Primered%20used%20price&tbm=shop
Sedan,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Sedan%20used%20price&tbm=shop
Upper Fascia,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Upper%20Fascia%20used%20price&tbm=shop
Fascia,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Fascia%20used%20price&tbm=shop
2019,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%20used%20price&tbm=shop
Upper,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Upper%20used%20price&tbm=shop
2021 Sedan,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202021%20Sedan%20used%20price&tbm=shop
Primered Upper,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Primered%20Upper%20used%20price&tbm=shop
2019 2021,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202021%20used%20price&tbm=shop
2021,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202021%20used%20price&tbm=shop
Jack 2010 2020,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Jack%202010%202020%20used%20price&tbm=shop
Spare Jack,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Spare%20Jack%20used%20price&tbm=shop
16 Jack,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%2016%20Jack%20used%20price&tbm=shop
16,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%2016%20used%20price&tbm=shop
Jack,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Jack%20used%20price&tbm=shop
Jack 16,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Jack%2016%20used%20price&tbm=shop
Spare 16,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Spare%2016%20used%20price&tbm=shop
Spare,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Spare%20used%20price&tbm=shop
2010 2020,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202010%202020%20used%20price&tbm=shop
Compact,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Compact%20used%20price&tbm=shop
To Match,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20To%20Match%20used%20price&tbm=shop
