part,ebay_avg,google_avg,ebay_url,google_url,image_url,ai_valid
Roof Rack,183.02,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Roof+Rack+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Roof+Rack+used,,True
Dashboard,172.32,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Dashboard+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Dashboard+used,,True
Seat,177.62,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Seat+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Seat+used,,True
Center Console,107.72,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Center+Console+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Center+Console+used,,True
Steering Wheel,153.54,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Steering+Wheel+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Steering+Wheel+used,,True
Interior Trim,124.57,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Interior+Trim+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Interior+Trim+used,,True
Sun Visor,55.41,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Sun+Visor+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Sun+Visor+used,,True
Carpet,126.99,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Carpet+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Carpet+used,,True
Transmission,347.84,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Transmission+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Transmission+used,,True
Transfer Case,330.93,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Transfer+Case+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Transfer+Case+used,,True
Differential,328.31,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Differential+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Differential+used,,True
CV Axle,120.61,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+CV+Axle+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+CV+Axle+used,,True
Driveshaft,171.52,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Driveshaft+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Driveshaft+used,,True
Clutch Kit,79.06,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Clutch+Kit+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Clutch+Kit+used,,True
Battery,43.22,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Battery+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Battery+used,,True
ECU,83.12,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+ECU+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+ECU+used,,True
Starter Relay,30.97,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Starter+Relay+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Starter+Relay+used,,True
Fuse Box,46.13,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Fuse+Box+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Fuse+Box+used,,True
Wiring Harness,58.06,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Wiring+Harness+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Wiring+Harness+used,,True
ABS Sensor,24.53,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+ABS+Sensor+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+ABS+Sensor+used,,True
Mass Airflow Sensor,48.36,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Mass+Airflow+Sensor+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Mass+Airflow+Sensor+used,,True
O2 Sensor,32.48,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+O2+Sensor+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+O2+Sensor+used,,True
Radiator,81.59,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Radiator+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Radiator+used,,True
Radiator Fan,131.26,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Radiator+Fan+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Radiator+Fan+used,,True
Water Pump,67.96,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Water+Pump+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Water+Pump+used,,True
Thermostat,33.65,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Thermostat+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Thermostat+used,,True
Coolant Reservoir,61.66,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Coolant+Reservoir+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Coolant+Reservoir+used,,True
Heater Hose,24.98,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Heater+Hose+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Heater+Hose+used,,True
AC Compressor,76.65,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+AC+Compressor+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+AC+Compressor+used,,True
Heater Core,78.88,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Heater+Core+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Heater+Core+used,,True
