part,ebay_avg,google_avg,ebay_url,google_url,image_url,ai_valid
engine,667.01,,https://www.ebay.com/sch/i.html?_nkw=2020+TOYOTA+Camry+engine+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2020+TOYOTA+Camry+engine+used,,True
Radiator,139.77,,https://www.ebay.com/sch/i.html?_nkw=2020+TOYOTA+Camry+Radiator+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2020+TOYOTA+Camry+Radiator+used,,True
Radiator Fan,263.87,,https://www.ebay.com/sch/i.html?_nkw=2020+TOYOTA+Camry+Radiator+Fan+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2020+TOYOTA+Camry+Radiator+Fan+used,,True
Water Pump,132.96,,https://www.ebay.com/sch/i.html?_nkw=2020+TOYOTA+Camry+Water+Pump+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2020+TOYOTA+Camry+Water+Pump+used,,True
Thermostat,43.89,,https://www.ebay.com/sch/i.html?_nkw=2020+TOYOTA+Camry+Thermostat+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2020+TOYOTA+Camry+Thermostat+used,,True
Coolant Reservoir,109.91,,https://www.ebay.com/sch/i.html?_nkw=2020+TOYOTA+Camry+Coolant+Reservoir+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2020+TOYOTA+Camry+Coolant+Reservoir+used,,True
Heater Hose,46.74,,https://www.ebay.com/sch/i.html?_nkw=2020+TOYOTA+Camry+Heater+Hose+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2020+TOYOTA+Camry+Heater+Hose+used,,True
