part,ebay_avg,google_avg,ebay_url,google_url,image_url,ai_valid
Alternator,78.48,,https://www.ebay.com/sch/i.html?_nkw=2015+MINI+Countryman+Alternator+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2015+MINI+Countryman+Alternator+used,,True
Starter,62.35,,https://www.ebay.com/sch/i.html?_nkw=2015+MINI+Countryman+Starter+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2015+MINI+Countryman+Starter+used,,True
Engine Mount,49.51,,https://www.ebay.com/sch/i.html?_nkw=2015+MINI+Countryman+Engine+Mount+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2015+MINI+Countryman+Engine+Mount+used,,True
